departement,gamma,r_squared,n_points,epsilon_min,epsilon_max,pic_variance_jour,pic_cas_jour,avance_jours,chi_max
01,0.5015009265323239,0.3576622725575883,29,1,29,2020-04-22,2020-04-18,-4,374.4761904761904
02,0.40693850694332456,0.16706163032572624,33,1,33,2020-04-26,2020-04-07,-19,899.666666666667
03,0.148515159705367,0.08960961631837928,49,1,49,2020-05-12,2020-03-30,-43,60.571428571428605
04,0.46491808775565663,0.18393007749397536,29,1,29,2020-04-22,2020-03-30,-23,96.61904761904759
05,0.7499305306869576,0.8883350623867665,12,1,12,2020-04-05,2020-04-01,-4,100.57142857142857
06,0.08111604402004549,0.016851666754290447,44,1,44,2020-05-07,2020-04-02,-35,764.1428571428573
07,0.17957928698225123,0.03604121462854655,36,1,36,2020-04-29,2020-04-28,-1,529.5714285714286
08,0.29690398478484165,0.0582963771120422,70,1,70,2020-06-02,2020-05-19,-14,394.2857142857144
09,-0.19287744091865072,0.0988251781352132,44,1,44,2020-05-07,2020-03-25,-43,16.571428571428566
10,0.10135458019694793,0.008540728327636572,43,1,43,2020-05-06,2020-04-09,-27,3423.2380952380954
11,0.7995762131638416,0.8200544811896442,15,1,15,2020-04-08,2020-04-02,-6,613.6666666666666
12,0.039934035090479825,0.0060456833653333404,31,1,31,2020-04-24,2020-03-28,-27,152.95238095238093
13,0.625279997677309,0.5772422393603351,16,1,16,2020-04-09,2020-03-29,-11,18115.142857142862
14,-0.5033163196199707,0.21019417651854921,65,1,65,2020-05-28,2020-03-28,-61,327.8095238095235
15,1.3144169866665227,0.7503015900387234,14,1,14,2020-04-07,2020-04-02,-5,48.0
17,0.11435188319106505,0.05749765014294369,22,1,22,2020-04-15,2020-03-30,-16,247.2857142857143
18,0.6543330786136365,0.34088325297562355,29,1,29,2020-04-22,2020-03-30,-23,188.80952380952385
19,-0.1989911956008025,0.0739999450556798,70,1,70,2020-06-02,2020-03-28,-66,493.9047619047619
21,0.34773950053884384,0.19952710690135866,19,1,19,2020-04-12,2020-04-10,-2,3404.3333333333353
22,0.9481978990637383,0.613309860957195,15,1,15,2020-04-08,2020-04-02,-6,175.28571428571425
23,0.26147936498999924,0.2697434516093434,15,1,15,2020-04-08,2020-04-08,0,126.47619047619048
25,1.4536513206837365,0.6681920597725632,10,1,10,2020-04-03,2020-03-29,-5,2375.9523809523807
26,0.5818147422405231,0.529303047747075,14,1,14,2020-04-07,2020-03-28,-10,956.6190476190478
27,1.1424308331955115,0.7566034613970407,21,1,21,2020-04-14,2020-04-10,-4,675.2857142857143
28,-0.40804675914580624,0.20671783392788695,85,1,85,2020-06-17,2020-03-29,-80,563.2380952380953
29,0.019550528370455334,0.0015755325115119434,24,1,24,2020-04-17,2020-03-25,-23,126.61904761904772
30,0.49244386639210613,0.2344268361147835,30,1,30,2020-04-23,2020-04-05,-18,758.6666666666666
32,0.7559433954453356,0.7532114524145499,33,1,33,2020-04-26,2020-04-17,-9,187.80952380952385
33,0.3978682148591571,0.587704724852837,12,1,12,2020-04-05,2020-03-30,-6,1539.6190476190475
34,0.383402630503522,0.3636748234526104,11,1,11,2020-04-04,2020-03-25,-10,899.9523809523804
35,0.6716262624718117,0.7393750911615343,14,1,14,2020-04-07,2020-04-02,-5,365.1428571428571
36,0.22753677017879087,0.5073542983030205,23,1,23,2020-04-16,2020-04-10,-6,147.47619047619045
37,0.959834638815637,0.4789673000629453,14,1,14,2020-04-07,2020-04-02,-5,444.23809523809524
38,0.5289642315521228,0.5950206389025263,18,1,18,2020-04-11,2020-03-27,-15,773.5714285714288
39,-0.27060674459273926,0.056868857106361116,66,1,66,2020-05-29,2020-03-26,-64,636.9523809523804
40,0.08505981805923639,0.031598799151603185,17,1,17,2020-04-10,2020-03-25,-16,51.23809523809524
41,1.5929975969430055,0.761389829532317,12,1,12,2020-04-05,2020-03-30,-6,339.61904761904765
43,1.2732671024385938,0.6651854552204943,26,1,26,2020-04-19,2020-04-18,-1,99.80952380952381
46,1.8321888812988618,0.8220436264322228,15,1,15,2020-04-08,2020-04-03,-5,51.61904761904761
49,0.05992438815261374,0.0027462203129859377,24,1,24,2020-04-17,2020-03-23,-25,672.2380952380956
50,0.841489361511653,0.7856627096808491,18,1,18,2020-04-11,2020-04-05,-6,180.95238095238096
51,0.9500721114775151,0.6705589139210553,13,1,13,2020-04-06,2020-03-31,-6,2093.4761904761904
52,0.44546066459120115,0.655847522101994,16,1,16,2020-04-09,2020-05-07,28,471.8095238095238
53,0.12058391983772702,0.0229456951255917,23,1,23,2020-04-16,2020-03-27,-20,192.95238095238096
54,0.4184850544692856,0.6019530534988451,15,1,15,2020-04-08,2020-03-28,-11,2412.666666666668
55,0.3116349401597646,0.0734446854912934,69,1,69,2020-06-01,2020-03-23,-70,807.809523809524
58,1.3942121588888094,0.7189402418425497,23,1,23,2020-04-16,2020-04-10,-6,100.95238095238095
60,1.3558920156846372,0.6565736970232661,13,1,13,2020-04-06,2020-04-02,-4,2146.476190476191
61,0.3113916727166061,0.10312039400445558,45,1,45,2020-05-08,2020-04-01,-37,131.00000000000006
62,0.8310349868164566,0.6811121467671228,14,1,14,2020-04-07,2020-04-01,-6,1847.5714285714284
63,0.8915603637796449,0.8043905437553537,11,1,11,2020-04-04,2020-04-01,-3,360.5714285714286
64,0.7954125792997753,0.7000777138174339,13,1,13,2020-04-06,2020-03-31,-6,168.952380952381
65,0.32092617777494914,0.18049539910275603,24,1,24,2020-04-17,2020-04-01,-16,90.90476190476188
68,-0.3728109269584694,0.634140075469158,11,1,11,2020-04-04,2020-03-23,-12,6754.952380952382
69,0.17333096062774814,0.1477941773035146,16,1,16,2020-04-09,2020-03-28,-12,7178.952380952399
70,0.2357617043825602,0.08585669753625909,36,1,36,2020-04-29,2020-03-26,-34,339.47619047619054
73,0.5269003742801722,0.40456007112911185,10,1,10,2020-04-03,2020-03-29,-5,227.61904761904762
